GEO_ID,GEO_NAME, TOTAL_POPULATION_18_TO_24_YEARS,POP_18_TO_24_YEARS_LESS_THAN_HS_GRAD,POP_18_TO_24_YEARS_HS_GRAD,POP_18_TO_24_YEARS_SOME_COLLEGE_OR_ASSOC_DEG,POP_18_TO_24_YEARS_BACH_DEG_OR_HIGHER,TOTAL_POP_25_AND_OVER,POP_25_AND_OVER_LESS_THAN_9th_GRADE, POP_25_AND_OVER_9_TO_12_NO_DIP,POP_25_AND_OVER_HS_GRAD,POP_25_AND_OVER_SOME_COLLEGE_NO_DEG,POP_25_AND_OVER_ASSOC_DEG,POP_25_AND_OVER_BACH_DEG,POP_25_AND_OVER_GRAD_OR_PROF_DEG,POP_25_AND_OVER_HS_GRAD_OR_HIGHER,POP_25_AND_OVER_BACH_DEG_OR_HIGHER,TOTAL_POP_25_TO_34,POP_25_TO_34_HS_GRAD_OR_HIGHER,POP_25_TO_34_HS_BACH_OR_HIGHER,TOTAL_POP_35_TO_44,POP_35_TO_44_HS_GRAD_OR_HIGHER,POP_35_TO_44_BACH_DEG_OR_HIGHER,TOTAL_POP_45_TO_64,POP_45_TO_64_HS_GRAD_OR_HIGHER,POP_45_TO_64_BACH_DEG_OR_HIGHER,TOTAL_POP_65_AND_OVER,POP_65_AND_OVER_HS_GRAD_OR_HIGHER,POP_65_AND_OVER_BACH_DEG_OR_HIGHER,ALL_LESS_THAN_HS_GRAD,ALL_HS_GRAD,ALL_HS_HIGHER,ALL_BACH_HIGHER
53033000101,"Census Tract 1.01, King County, Washington",344,48,31,97,168,2562,90,50,554,423,148,904,393,2422,1297,1278,1266,861,488,416,194,433,411,132,363,329,110,188,585,5140,2762
53033000102,"Census Tract 1.02, King County, Washington",383,48,88,107,140,3572,148,199,711,396,272,1060,786,3225,1846,977,784,454,585,511,316,1021,1006,699,989,924,377,395,799,6785,3832
53033000201,"Census Tract 2.01, King County, Washington",241,0,180,17,44,3525,18,204,470,549,160,1198,926,3303,2124,615,528,336,601,577,424,1589,1478,767,720,720,597,222,650,6847,4292
53033000202,"Census Tract 2.02, King County, Washington",273,14,105,78,76,3336,89,122,565,452,206,1154,748,3125,1902,1110,1083,662,561,541,404,1109,991,510,556,510,326,225,670,6509,3880
53033000300,"Census Tract 3, King County, Washington",526,39,65,333,89,1833,81,104,184,260,194,617,393,1648,1010,368,368,292,419,378,272,750,688,399,296,214,47,224,249,3783,2109
53033000402,"Census Tract 4.02, King County, Washington",402,89,45,141,127,4136,133,64,648,1091,175,1208,817,3939,2025,761,761,437,697,621,364,1347,1312,572,1331,1245,652,286,693,8191,4177
53033000403,"Census Tract 4.03, King County, Washington",122,0,0,66,56,2636,8,125,376,489,454,663,521,2503,1184,602,585,260,518,501,341,777,752,367,739,665,216,133,376,5128,2424
53033000404,"Census Tract 4.04, King County, Washington",249,0,37,212,0,3009,138,139,603,1032,292,574,231,2732,805,778,778,207,499,398,135,1088,979,275,644,577,188,277,640,5713,1610
53033000500,"Census Tract 5, King County, Washington",49,22,10,17,0,2451,48,12,233,300,50,1018,790,2391,1808,237,228,121,414,411,341,1039,999,812,761,753,534,82,243,4809,3616
53033000601,"Census Tract 6.01, King County, Washington",451,10,141,252,48,3489,90,11,486,922,199,1186,595,3388,1781,1005,1005,423,826,751,604,1036,1022,487,622,610,267,111,627,7217,3610
53033000602,"Census Tract 6.02, King County, Washington",248,61,12,39,136,2841,100,86,421,507,305,693,729,2655,1422,732,732,345,842,659,473,790,790,363,477,474,241,247,433,5497,2980
53033000700,"Census Tract 7, King County, Washington",555,0,93,299,163,3993,182,166,548,885,274,879,1059,3645,1938,1271,1203,653,643,529,343,1508,1428,794,571,485,148,348,641,7845,4039
53033000800,"Census Tract 8, King County, Washington",249,37,26,61,125,2007,7,31,177,220,144,835,593,1969,1428,369,369,274,513,501,408,683,666,472,442,433,274,75,203,4150,2981
53033000900,"Census Tract 9, King County, Washington",87,0,29,28,30,1709,7,3,103,150,69,639,738,1699,1377,275,275,252,197,196,159,679,677,527,558,551,439,10,132,3485,2784
53033001000,"Census Tract 10, King County, Washington",155,10,37,69,39,1463,3,38,148,251,76,490,457,1422,947,231,231,125,343,333,241,593,569,389,296,289,192,51,185,2989,1933
53033001100,"Census Tract 11, King County, Washington",149,12,58,43,36,2097,61,0,247,193,84,906,606,2036,1512,390,367,336,482,458,357,797,797,592,428,414,227,73,305,4209,3060
53033001201,"Census Tract 12.01, King County, Washington",323,0,51,138,134,3031,184,168,491,698,291,937,262,2679,1199,1052,1052,601,598,598,354,597,435,80,784,594,164,352,542,5681,2532
53033001202,"Census Tract 12.02, King County, Washington",533,17,84,257,175,2180,0,39,313,401,145,643,639,2141,1282,603,577,352,490,486,253,588,579,400,499,499,277,56,397,4798,2739
53033001300,"Census Tract 13, King County, Washington",409,92,84,75,158,3822,183,1,526,660,354,1301,797,3638,2098,1227,1227,805,1043,970,583,896,844,420,656,597,290,276,610,7593,4354
53033001400,"Census Tract 14, King County, Washington",230,0,97,61,72,4114,37,22,638,453,244,1660,1060,4055,2720,1056,1056,760,1184,1169,837,1246,1224,864,628,606,259,59,735,8340,5512
53033001500,"Census Tract 15, King County, Washington",136,0,73,47,16,2251,0,32,165,398,176,876,604,2219,1480,257,244,166,452,452,316,917,898,659,625,625,339,32,238,4574,2976
53033001600,"Census Tract 16, King County, Washington",273,16,57,65,135,3333,8,8,154,366,171,1368,1258,3317,2626,402,402,367,854,854,677,1404,1404,1147,673,657,435,32,211,6891,5387
53033001701,"Census Tract 17.01, King County, Washington",226,0,74,42,110,3511,104,196,432,574,113,1634,458,3211,2092,1642,1598,1191,745,641,373,926,884,492,198,88,36,300,506,6648,4294
53033001702,"Census Tract 17.02, King County, Washington",198,0,19,121,58,4318,170,91,604,592,340,1597,924,4057,2521,1440,1427,1070,1085,1072,787,964,857,402,829,701,262,261,623,8312,5100
53033001800,"Census Tract 18, King County, Washington",459,15,29,232,183,3891,68,58,260,507,345,1788,865,3765,2653,2356,2337,1772,848,848,622,464,464,226,223,116,33,141,289,7974,5489
53033001900,"Census Tract 19, King County, Washington",378,61,38,125,154,3833,19,95,266,432,301,1701,1019,3719,2720,1196,1196,938,877,813,618,1006,981,647,754,729,517,175,304,7755,5594
53033002000,"Census Tract 20, King County, Washington",357,28,125,106,98,3105,0,0,172,660,344,1114,815,3105,1929,700,700,484,725,725,465,1045,1045,575,635,635,405,28,297,6539,3956
53033002100,"Census Tract 21, King County, Washington",402,30,121,29,222,3326,20,44,205,515,169,1432,941,3262,2373,870,853,671,582,547,417,1303,1303,908,571,559,377,94,326,6896,4968
53033002200,"Census Tract 22, King County, Washington",342,31,47,179,85,4302,0,6,189,408,368,1399,1932,4296,3331,601,601,548,914,914,789,1657,1657,1190,1130,1124,804,37,236,8903,6747
53033002400,"Census Tract 24, King County, Washington",86,9,12,49,16,2447,24,0,78,281,135,834,1095,2423,1929,451,451,319,442,442,345,1104,1104,934,450,426,331,33,90,4923,3874
53033002500,"Census Tract 25, King County, Washington",199,16,8,80,95,2598,10,20,147,193,138,973,1117,2568,2090,730,730,609,634,624,560,811,800,636,423,414,285,46,155,5319,4275
53033002600,"Census Tract 26, King County, Washington",381,0,75,125,181,3773,0,0,66,429,127,1573,1578,3773,3151,1025,1025,918,785,785,642,1451,1451,1189,512,512,402,0,141,7927,6483
53033002700,"Census Tract 27, King County, Washington",415,9,150,102,154,4305,55,29,139,403,234,1686,1759,4221,3445,1005,968,900,1203,1203,1126,1308,1290,929,789,760,490,93,289,8848,7044
53033002800,"Census Tract 28, King County, Washington",126,0,11,66,49,3873,18,44,379,626,151,1604,1051,3811,2655,1300,1282,915,929,929,679,1123,1107,819,521,493,242,62,390,7748,5359
53033002900,"Census Tract 29, King County, Washington",225,42,54,96,33,3529,0,46,292,610,116,1419,1046,3483,2465,640,608,474,854,854,731,1559,1545,958,476,476,302,88,346,7149,4963
53033003000,"Census Tract 30, King County, Washington",357,0,74,169,114,4616,31,66,337,607,174,2163,1238,4519,3401,1059,1059,823,1090,1058,822,1911,1859,1381,556,543,375,97,411,9395,6916
53033003100,"Census Tract 31, King County, Washington",308,20,74,119,95,4917,16,0,451,742,194,1690,1824,4901,3514,559,559,375,1325,1310,955,2016,2016,1582,1017,1016,602,36,525,10090,7123
53033003201,"Census Tract 32.01, King County, Washington",236,71,51,73,41,3712,66,57,329,753,256,1181,1070,3589,2251,1033,1033,778,824,758,556,805,805,604,1050,993,313,194,380,7343,4543
53033003202,"Census Tract 32.02, King County, Washington",178,64,90,8,16,3571,0,0,180,599,174,1337,1281,3571,2618,731,731,682,904,904,727,1361,1361,972,575,575,237,64,270,7256,5252
53033003301,"Census Tract 33.01, King County, Washington",273,0,69,133,71,3696,0,13,220,408,229,1736,1090,3683,2826,1545,1545,1330,1096,1096,826,828,815,588,227,227,82,13,289,7639,5723
53033003302,"Census Tract 33.02, King County, Washington",306,5,180,0,121,2972,35,33,342,339,177,1185,861,2904,2046,1050,1050,734,985,976,837,751,692,357,186,186,118,73,522,6109,4213
53033003400,"Census Tract 34, King County, Washington",195,20,37,92,46,2673,15,25,93,241,196,1134,969,2633,2103,587,587,511,561,554,468,1027,1009,797,498,483,327,60,130,5441,4252
53033003500,"Census Tract 35, King County, Washington",212,20,78,53,61,3318,18,0,252,343,117,1319,1269,3300,2588,775,763,577,744,744,624,1020,1020,776,779,773,611,38,330,6792,5237
53033003601,"Census Tract 36.01, King County, Washington",250,0,18,19,213,2966,83,0,66,421,121,1411,864,2883,2275,797,797,685,356,356,319,817,789,476,996,941,795,83,84,6016,4763
53033003602,"Census Tract 36.02, King County, Washington",330,52,21,62,195,3414,0,0,284,314,107,1612,1097,3414,2709,2201,2201,1989,499,499,361,494,494,205,220,220,154,52,305,7106,5613
53033003800,"Census Tract 38, King County, Washington",193,18,23,70,82,1768,0,1,44,154,106,838,625,1767,1463,739,739,587,306,305,262,493,493,416,230,230,198,19,67,3709,3008
53033003900,"Census Tract 39, King County, Washington",266,22,28,73,143,2028,25,27,66,130,86,743,951,1976,1694,312,312,253,417,405,360,908,899,805,391,360,276,74,94,4196,3531
53033004000,"Census Tract 40, King County, Washington",278,38,97,80,63,2180,64,88,131,190,113,694,900,2028,1594,360,337,280,312,247,195,1029,979,746,479,465,373,190,228,4296,3251
53033004101,"Census Tract 41.01, King County, Washington",135,12,45,48,30,2850,0,0,25,12,103,1075,1635,2850,2710,479,479,466,393,393,359,1045,1045,1000,933,933,885,12,70,5823,5450
53033004102,"Census Tract 41.02, King County, Washington",275,32,31,41,171,2731,12,12,102,198,51,992,1364,2707,2356,421,416,399,671,669,645,958,957,782,681,665,530,56,133,5657,4883
53033004201,"Census Tract 42.01, King County, Washington",252,17,51,81,103,2517,42,11,147,256,93,892,1076,2464,1968,520,520,484,502,502,452,903,892,681,592,550,351,70,198,5163,4039
53033004202,"Census Tract 42.02, King County, Washington",223,0,0,131,92,3482,0,0,187,269,130,1184,1712,3482,2896,659,659,602,1035,1035,984,1287,1287,933,501,501,377,0,187,7187,5884
53033004301,"Census Tract 43.01, King County, Washington",747,64,131,439,113,2148,0,9,108,264,91,809,867,2139,1676,597,597,477,543,543,442,627,618,494,381,381,263,73,239,4961,3465
53033004302,"Census Tract 43.02, King County, Washington",2827,37,461,1971,358,1458,9,0,212,246,67,468,456,1449,924,830,830,488,200,200,134,164,155,109,264,264,193,46,673,5688,2206
53033004401,"Census Tract 44.01, King County, Washington",1328,94,307,560,367,2131,31,41,144,263,40,809,803,2059,1612,793,793,612,373,327,240,633,607,493,332,332,267,166,451,5352,3591
53033004402,"Census Tract 44.02, King County, Washington",1352,34,188,732,398,1745,42,0,69,308,117,838,371,1703,1209,1030,1030,797,351,351,263,203,161,83,161,161,66,76,257,4724,2816
53033004500,"Census Tract 45, King County, Washington",637,0,58,499,80,2315,6,20,75,203,148,953,910,2289,1863,966,958,820,483,471,454,627,627,399,239,233,190,26,133,5215,3806
53033004600,"Census Tract 46, King County, Washington",171,25,27,30,89,2717,39,19,111,266,76,1364,842,2659,2206,883,851,687,568,560,502,754,736,627,512,512,390,83,138,5464,4501
53033004701,"Census Tract 47.01, King County, Washington",484,4,0,21,459,2686,0,69,208,349,117,981,962,2617,1943,1166,1099,952,531,529,461,553,553,273,436,436,257,73,208,5714,4345
53033004702,"Census Tract 47.02, King County, Washington",205,0,26,100,79,2858,0,7,101,226,76,1539,909,2851,2448,1686,1686,1538,456,449,369,392,392,361,324,324,180,7,127,5907,4975
53033004703,"Census Tract 47.03, King County, Washington",470,0,0,40,430,2984,50,0,269,439,27,1300,899,2934,2199,1662,1662,1322,476,476,354,556,556,433,290,240,90,50,269,6338,4828
53033004800,"Census Tract 48, King County, Washington",157,9,27,47,74,4107,0,31,356,421,183,1522,1594,4076,3116,1604,1588,1211,992,992,865,1076,1076,794,435,420,246,40,383,8300,6306
53033004901,"Census Tract 49.01, King County, Washington",725,0,46,167,512,3025,24,43,320,301,117,1268,952,2958,2220,1148,1148,950,857,815,549,607,592,469,413,403,252,67,366,6641,4952
53033004902,"Census Tract 49.02, King County, Washington",528,0,32,85,411,2533,43,0,96,306,52,1284,752,2490,2036,1286,1286,1163,516,516,372,542,542,369,189,146,132,43,128,5508,4483
53033005000,"Census Tract 50, King County, Washington",319,46,45,65,163,3485,27,66,184,366,134,1330,1378,3392,2708,1792,1751,1490,619,610,408,752,725,645,322,306,165,139,229,7057,5579
53033005100,"Census Tract 51, King County, Washington",201,55,42,59,45,2872,24,64,184,250,90,1329,931,2784,2260,846,837,705,612,593,510,1043,989,790,371,365,255,143,226,5714,4565
53033005201,"Census Tract 52.01, King County, Washington",714,33,65,374,242,2641,0,16,48,362,484,834,897,2625,1731,1274,1258,717,371,371,330,756,756,459,240,240,225,49,113,5931,3704
53033005202,"Census Tract 52.02, King County, Washington",1612,0,138,789,685,1351,15,0,130,132,28,625,421,1336,1046,1116,1101,963,128,128,35,95,95,48,12,12,0,15,268,4284,2777
53033005303,"Census Tract 53.03, King County, Washington",3459,0,1021,2315,123,139,0,27,4,27,10,29,42,112,71,96,69,63,35,35,8,8,8,0,0,0,0,27,1025,3683,265
53033005304,"Census Tract 53.04, King County, Washington",3283,18,1112,2053,100,158,0,9,9,26,8,69,37,149,106,107,107,81,17,17,17,34,25,8,0,0,0,27,1121,3563,312
53033005305,"Census Tract 53.05, King County, Washington",1198,37,198,746,217,821,4,44,21,222,22,267,241,773,508,499,499,409,141,102,69,114,105,30,67,67,0,85,219,2707,1233
53033005306,"Census Tract 53.06, King County, Washington",1823,17,227,1169,410,1625,31,12,72,292,198,451,569,1582,1020,1332,1312,898,46,46,30,143,143,42,104,81,50,60,299,4970,2450
53033005307,"Census Tract 53.07, King County, Washington",2987,40,700,2078,169,174,0,0,21,23,17,88,25,174,113,91,91,62,37,37,26,13,13,13,33,33,12,40,721,3295,395
53033005401,"Census Tract 54.01, King County, Washington",254,0,42,42,170,2701,4,10,87,151,42,1540,867,2687,2407,1505,1505,1383,476,472,412,524,514,428,196,196,184,14,129,5628,4984
53033005402,"Census Tract 54.02, King County, Washington",350,0,39,182,129,2519,21,0,78,227,110,989,1094,2498,2083,1173,1173,994,370,370,315,761,740,618,215,215,156,21,117,5346,4295
53033005600,"Census Tract 56, King County, Washington",88,0,28,49,11,5226,37,0,326,585,413,1834,2031,5189,3865,244,244,164,1230,1230,874,2276,2256,1818,1476,1459,1009,37,354,10466,7741
53033005700,"Census Tract 57, King County, Washington",240,0,29,168,43,4829,54,15,313,561,203,2105,1578,4760,3683,1012,1012,901,1061,1047,939,1818,1789,1225,938,912,618,69,342,9760,7409
53033005801,"Census Tract 58.01, King County, Washington",300,9,16,82,193,5273,13,0,319,539,419,2413,1570,5260,3983,2092,2092,1706,1464,1464,1198,1132,1119,793,585,585,286,22,335,10811,8159
53033005803,"Census Tract 58.03, King County, Washington",69,0,13,10,46,2758,38,53,152,441,98,1101,875,2667,1976,1113,1097,980,689,656,461,648,633,374,308,281,161,91,165,5403,3998
53033005804,"Census Tract 58.04, King County, Washington",160,0,46,82,32,2007,12,16,97,268,260,853,501,1979,1354,1052,1024,798,298,298,225,394,394,186,263,263,145,28,143,4118,2740
53033005901,"Census Tract 59.01, King County, Washington",1841,44,174,1522,101,1947,0,0,152,156,11,1026,602,1947,1628,825,825,655,367,367,346,619,619,513,136,136,114,44,326,5691,3357
53033005902,"Census Tract 59.02, King County, Washington",282,48,11,72,151,2878,20,16,16,436,243,1192,955,2842,2147,963,963,722,620,620,467,940,936,676,355,323,282,84,27,5918,4445
53033006000,"Census Tract 60, King County, Washington",503,12,28,355,108,4962,32,66,380,906,224,1952,1402,4864,3354,1852,1820,1320,1154,1154,698,1290,1247,862,666,643,474,110,408,10219,6816
53033006100,"Census Tract 61, King County, Washington",242,0,32,66,144,4808,15,0,176,511,128,1960,2018,4793,3978,1787,1787,1598,1099,1099,939,1245,1245,871,677,662,570,15,208,9828,8100
53033006200,"Census Tract 62, King County, Washington",287,26,63,75,123,3260,40,0,156,207,144,1156,1557,3220,2713,704,704,657,531,531,443,1305,1275,1079,720,710,534,66,219,6701,5549
53033006300,"Census Tract 63, King County, Washington",173,0,0,125,48,4211,2,26,56,351,185,1862,1729,4183,3591,518,506,413,994,994,857,1683,1683,1474,1016,1000,847,28,56,8539,7230
53033006400,"Census Tract 64, King County, Washington",293,15,135,48,95,2617,18,15,96,149,68,1186,1085,2584,2271,647,632,540,325,325,282,1016,998,923,629,629,526,48,231,5446,4637
53033006500,"Census Tract 65, King County, Washington",278,24,22,78,154,4127,0,57,101,321,185,1967,1496,4070,3463,1515,1515,1340,1035,1035,923,980,934,690,597,586,510,81,123,8394,7080
53033006600,"Census Tract 66, King County, Washington",322,0,15,111,196,3770,0,0,80,361,47,2091,1191,3770,3282,2228,2228,2066,691,691,565,644,644,453,207,207,198,0,95,7862,6760
53033006701,"Census Tract 67.01, King County, Washington",207,0,0,62,145,3081,0,0,0,19,199,1330,1533,3081,2863,2418,2418,2338,396,396,396,249,249,129,18,18,0,0,0,6369,5871
53033006702,"Census Tract 67.02, King County, Washington",239,0,28,61,150,2532,0,0,118,290,42,1441,641,2532,2082,1352,1352,1265,638,638,542,268,268,95,274,274,180,0,146,5303,4314
53033006703,"Census Tract 67.03, King County, Washington",177,17,0,33,127,2648,0,15,194,490,215,808,926,2633,1734,687,687,485,604,604,473,947,932,540,410,410,236,32,194,5426,3595
53033006800,"Census Tract 68, King County, Washington",208,10,22,8,168,2425,0,15,33,165,185,1082,945,2410,2027,604,604,587,525,525,493,869,869,625,427,412,322,25,55,5018,4222
53033006900,"Census Tract 69, King County, Washington",331,70,0,39,222,3609,35,10,212,412,228,1656,1056,3564,2712,998,963,682,886,886,728,1093,1093,807,632,622,495,115,212,7389,5646
53033007001,"Census Tract 70.01, King County, Washington",25,0,0,0,25,3518,10,26,201,570,290,1570,851,3482,2421,969,969,733,772,772,464,979,978,608,798,763,616,36,201,6989,4867
53033007002,"Census Tract 70.02, King County, Washington",315,22,115,59,119,3075,37,0,290,488,155,1289,816,3038,2105,1394,1371,991,483,469,293,867,867,529,331,331,292,59,405,6369,4329
53033007101,"Census Tract 71.01, King County, Washington",166,3,3,30,130,2534,8,28,126,366,299,1036,671,2498,1707,1336,1333,1067,615,612,336,496,475,239,87,78,65,39,129,5159,3544
53033007102,"Census Tract 71.02, King County, Washington",310,0,90,31,189,2228,30,17,102,402,95,750,832,2181,1582,1289,1255,1080,248,248,113,388,375,218,303,303,171,47,192,4672,3353
53033007201,"Census Tract 72.01, King County, Washington",354,72,85,21,176,4845,74,106,174,247,334,2073,1837,4665,3910,2476,2476,2075,578,578,498,940,866,624,851,745,713,252,259,9612,7996
53033007202,"Census Tract 72.02, King County, Washington",307,0,70,55,182,3147,72,0,210,375,0,1066,1424,3075,2490,1811,1811,1721,563,563,431,589,589,273,184,112,65,72,280,6457,5162
53033007203,"Census Tract 72.03, King County, Washington",317,0,48,134,135,2538,139,0,142,255,91,1065,846,2399,1911,1300,1300,1181,605,605,458,494,494,272,139,0,0,139,190,5115,3957
53033007301,"Census Tract 73.01, King County, Washington",736,0,0,129,607,1922,0,40,53,305,305,685,534,1882,1219,1194,1194,878,408,408,263,225,199,18,95,81,60,40,53,4500,3045
53033007302,"Census Tract 73.02, King County, Washington",328,0,17,45,266,4064,54,73,261,318,219,1098,2041,3937,3139,2044,2027,1902,887,887,557,980,896,618,153,127,62,127,278,8202,6544
53033007303,"Census Tract 73.03, King County, Washington",284,0,0,0,284,2292,1,0,181,178,69,771,1092,2291,1863,1348,1348,1263,134,134,109,309,309,127,501,500,364,1,181,4866,4010
53033007403,"Census Tract 74.03, King County, Washington",157,0,3,60,94,2535,10,0,71,257,135,1360,702,2525,2062,1654,1654,1455,488,478,406,317,317,175,76,76,26,10,74,5207,4218
53033007404,"Census Tract 74.04, King County, Washington",196,0,17,72,107,2807,33,48,92,253,140,1315,926,2726,2241,1731,1650,1347,501,501,406,510,510,438,65,65,50,81,109,5648,4589
53033007405,"Census Tract 74.05, King County, Washington",400,0,17,191,192,2052,244,0,90,363,189,816,350,1808,1166,1133,1133,730,501,323,266,303,303,170,115,49,0,244,107,4016,2524
53033007406,"Census Tract 74.06, King County, Washington",360,16,42,16,286,2054,12,0,133,334,76,814,685,2042,1499,1217,1217,982,328,316,235,369,369,178,140,140,104,28,175,4428,3284
53033007501,"Census Tract 75.01, King County, Washington",282,0,0,190,92,3497,102,3,494,398,96,1129,1275,3392,2404,1421,1421,1392,809,809,419,812,771,299,455,391,294,105,494,7066,4900
53033007502,"Census Tract 75.02, King County, Washington",216,0,0,55,161,2031,0,0,144,203,100,1259,325,2031,1584,1140,1140,989,615,615,525,179,179,70,97,97,0,0,144,4278,3329
53033007503,"Census Tract 75.03, King County, Washington",497,0,0,259,238,1778,0,0,181,147,111,913,426,1778,1339,1056,1056,832,391,391,363,331,331,144,0,0,0,0,181,4053,2916
53033007600,"Census Tract 76, King County, Washington",619,188,39,124,268,3533,43,20,262,230,96,1278,1604,3470,2882,1368,1361,1230,770,770,661,968,912,705,427,427,286,251,301,7371,6032
53033007700,"Census Tract 77, King County, Washington",585,21,46,303,215,4346,24,32,409,428,283,1668,1502,4290,3170,1491,1491,1193,878,878,657,1370,1318,920,607,603,400,77,455,9144,6555
53033007800,"Census Tract 78, King County, Washington",649,93,82,183,291,4215,33,85,193,371,117,1768,1648,4097,3416,858,858,628,864,849,771,1444,1378,1241,1049,1012,776,211,275,8750,7123
53033007901,"Census Tract 79.01, King County, Washington",307,25,10,26,246,2613,8,50,158,451,54,1173,719,2555,1892,795,785,736,709,709,462,655,647,462,454,414,232,83,168,5392,4030
53033007902,"Census Tract 79.02, King County, Washington",392,0,0,64,328,2881,0,11,109,648,134,1182,797,2870,1979,1566,1566,1253,468,468,367,564,553,251,283,283,108,11,109,6132,4286
53033008002,"Census Tract 80.02, King County, Washington",344,8,72,104,160,3586,39,59,395,512,124,1390,1067,3488,2457,1351,1347,1197,666,666,447,1028,959,460,541,516,353,106,467,7312,5074
53033008003,"Census Tract 80.03, King County, Washington",162,0,20,25,117,3852,94,80,373,381,71,1454,1399,3678,2853,1673,1591,1366,629,629,542,1223,1131,675,327,327,270,174,393,7518,5823
53033008004,"Census Tract 80.04, King County, Washington",121,0,0,0,121,2941,0,0,79,244,136,1257,1225,2941,2482,1362,1362,1269,733,733,602,658,658,469,188,188,142,0,79,6003,5085
53033008101,"Census Tract 81.01, King County, Washington",140,0,14,72,54,2385,141,24,186,537,110,931,456,2220,1387,742,742,586,364,364,275,667,643,353,612,471,173,165,200,4580,2828
53033008102,"Census Tract 81.02, King County, Washington",192,0,80,40,72,2315,111,145,267,430,86,745,531,2059,1276,663,657,532,573,554,337,836,669,273,243,179,134,256,347,4310,2624
53033008200,"Census Tract 82, King County, Washington",720,0,0,132,588,3344,2,3,211,581,88,1582,877,3339,2459,1672,1671,1403,503,501,330,583,581,293,586,586,433,5,211,7398,5506
