GEO_ID,GEO_NAME,HOUSEHOLDS_TOTAL," HOUSEHOLDS_PERCENTAGE_LESS_THAN_10,000"," HOUSEHOLDS_PERCENTAGE_10,000_TO_14,999","HOUSEHOLDS_PERCENTAGE_15,000_TO_24,999","HOUSEHOLDS_PERCENTAGE_25,000_TO_34,999","HOUSEHOLDS_PERCENTAGE_35,000_TO_49,999","HOUSEHOLDS_PERCENTAGE_50,000_TO_74,999","HOUSEHOLDS_PERCENTAGE_75,000_TO_99,999","HOUSEHOLDS_PERCENTAGE_100,000_TO_149,999","HOUSEHOLDS_PERCENTAGE_150,000_TO_199,999","HOUSEHOLDS_PERCENTAGE_200,000_OR_MORE",HOUSEHOLDS_MEDIAN_INCOME,HOUSEHOLDS_MEAN_INCOME
1400000US53053060200,"Census Tract 602, Pierce County, Washington",618,2.6,3.2,4.4,2.9,10.5,16.5,16.7,18,9.4,15.9,86563,117233
1400000US53053060300,"Census Tract 603, Pierce County, Washington",2414,2.2,7.6,2.5,1.7,9.6,15,14.8,20.1,16,10.4,95699,122120
1400000US53053060400,"Census Tract 604, Pierce County, Washington",1833,1.7,1.7,2.6,8.8,4.3,10,10.6,17.3,21.6,21.5,125240,149992
1400000US53053060500,"Census Tract 605, Pierce County, Washington",1550,0.6,0.6,3,3.4,6.7,9.7,8.1,17.7,22.5,27.5,150000,170333
1400000US53053060600,"Census Tract 606, Pierce County, Washington",2810,4.9,6,6.5,2.9,4.1,18.6,11.6,22.6,9.4,13.3,89929,108289
1400000US53053060700,"Census Tract 607, Pierce County, Washington",2379,2.6,0,6.1,5.3,10.6,14.2,4.6,27.2,18,11.6,114212,114742
1400000US53053060800,"Census Tract 608, Pierce County, Washington",2486,0,0.6,6.3,5.3,5.4,10.3,15.8,24.3,19.3,12.6,106033,115265
1400000US53053060903,"Census Tract 609.03, Pierce County, Washington",1433,4.7,8,4.3,7.7,10.5,12.4,15,22.5,7.5,7.3,78615,97143
1400000US53053060904,"Census Tract 609.04, Pierce County, Washington",2158,4.1,5.6,1.8,3.3,8.6,21.2,21.6,21.9,8.2,3.8,83214,90569
1400000US53053060906,"Census Tract 609.06, Pierce County, Washington",861,5.7,1.7,5,5.7,17.2,11.6,14.4,22.4,7.8,8.5,80417,96985
1400000US53053060907,"Census Tract 609.07, Pierce County, Washington",1863,2.7,5.4,9.1,13.2,18.5,9.7,14.1,17.7,5.3,4.4,52747,84516
1400000US53053060908,"Census Tract 609.08, Pierce County, Washington",1268,5.1,1.3,4.3,5.3,7.3,16.3,3.9,9.1,28.3,19.1,124300,155134
1400000US53053061001,"Census Tract 610.01, Pierce County, Washington",1872,1.7,5,7.2,4.9,13.7,12.2,7.8,21,12.3,14.2,84674,121551
1400000US53053061002,"Census Tract 610.02, Pierce County, Washington",2377,4.6,6.6,8.9,12.1,18.8,11.6,7.9,21,7.1,1.6,48242,73303
1400000US53053061100,"Census Tract 611, Pierce County, Washington",2698,2,4.3,5.4,7,11.5,18.4,18.2,19.2,8.3,5.6,75750,87838
1400000US53053061200,"Census Tract 612, Pierce County, Washington",2289,2.9,5.5,8.8,12.2,7.5,12.9,16.3,21.3,8,4.6,75268,87889
1400000US53053061300,"Census Tract 613, Pierce County, Washington",1959,4.2,6.2,6.2,4.7,11.2,26.2,13.1,17.7,5,5.5,66130,79584
1400000US53053061400,"Census Tract 614, Pierce County, Washington",1443,10.2,17,12.5,12.3,16.8,7,5.5,6.2,11.9,0.6,33140,53804
1400000US53053061501,"Census Tract 615.01, Pierce County, Washington",1536,9.7,11.1,11.3,4.6,11.7,18.4,5.4,24.1,1.4,2.4,55101,65680
1400000US53053061502,"Census Tract 615.02, Pierce County, Washington",1856,1.7,2.9,6.7,2.2,10.8,41.3,10.9,6.7,12.4,4.3,61293,80505
1400000US53053061601,"Census Tract 616.01, Pierce County, Washington",1265,19.1,16.1,11.9,8.5,5.7,17.3,7.4,5.8,3.4,4.7,28359,53026
1400000US53053061602,"Census Tract 616.02, Pierce County, Washington",500,17,0.6,6.4,1.8,24.6,14.8,14.2,14,5.6,1,49545,63458
1400000US53053061700,"Census Tract 617, Pierce County, Washington",1997,2.6,4.1,9,6,13.7,19.5,14.4,18.1,8,4.7,69315,82360
1400000US53053061800,"Census Tract 618, Pierce County, Washington",1145,2.3,0,3,7.2,15.6,27.1,15.7,20.5,4.7,3.8,67554,90116
1400000US53053061900,"Census Tract 619, Pierce County, Washington",826,2.5,13.8,9,2.4,5.6,30.6,12.5,9.7,7.6,6.3,56667,84506
1400000US53053062000,"Census Tract 620, Pierce County, Washington",1823,7.1,4.6,6.1,7.5,21.2,15.6,18.8,13.3,3.2,2.6,53345,67224
1400000US53053062300,"Census Tract 623, Pierce County, Washington",2171,0.6,2.1,3.8,4.3,16.2,23.2,19.3,22.6,7,1.1,72388,83017
1400000US53053062400,"Census Tract 624, Pierce County, Washington",2362,4.4,0.8,11,8.4,5.9,25.8,14.1,23.7,3.8,2.1,63542,74690
1400000US53053062501,"Census Tract 625.01, Pierce County, Washington",1754,2.9,0.6,4.1,21.2,4.8,18.2,19.1,19.5,6.8,2.8,72786,87285
1400000US53053062502,"Census Tract 625.02, Pierce County, Washington",1336,4,0,2.2,2.9,21.9,26.5,15.5,20.9,4.8,1.2,64761,78563
1400000US53053062600,"Census Tract 626, Pierce County, Washington",1978,6.7,4.7,12.9,8.2,13.6,22.6,14.1,11.4,3.6,2.2,53415,71604
1400000US53053062801,"Census Tract 628.01, Pierce County, Washington",3113,6.3,7.6,15.2,10.7,20,14.3,11.1,10.2,2.2,2.4,39567,58592
1400000US53053062802,"Census Tract 628.02, Pierce County, Washington",1470,4.9,2.4,6.3,4,9.5,31.2,12.4,22,2.4,4.9,68926,78174
1400000US53053062901,"Census Tract 629.01, Pierce County, Washington",1846,5.9,8.6,10.7,3,15.7,28.6,13.3,10.5,0.9,2.8,52202,64096
1400000US53053062902,"Census Tract 629.02, Pierce County, Washington",1586,3.4,0.8,1.8,4.4,6.4,38.8,18,18.9,7.1,0.4,71806,83488
1400000US53053063000,"Census Tract 630, Pierce County, Washington",1496,8.2,0,3.7,9.4,9.7,36.8,6.7,10.8,5.8,9,70729,88899
1400000US53053063100,"Census Tract 631, Pierce County, Washington",1650,1.9,3.8,11.6,3.7,9.6,19.3,14.5,25.8,4.4,5.5,75238,84223
1400000US53053063200,"Census Tract 632, Pierce County, Washington",1830,4.3,1.3,7.4,5.8,7.9,24.8,14,23.6,4.9,6.2,74178,89846
1400000US53053063301,"Census Tract 633.01, Pierce County, Washington",1276,5.5,1,3.8,4.9,24.1,23,15.1,15.2,5.8,1.6,65018,73274
1400000US53053063302,"Census Tract 633.02, Pierce County, Washington",1362,16.4,0,2.6,2.7,8.5,22.8,16.2,25.6,5.1,0,69583,75207
1400000US53053063401,"Census Tract 634.01, Pierce County, Washington",1755,4.3,6.2,10.9,12.9,19.1,18.2,14.4,9.5,1.4,3,42387,58630
1400000US53053063402,"Census Tract 634.02, Pierce County, Washington",1300,9.6,0,6.6,8.6,10.8,26.8,19.5,7.5,2.2,8.5,56434,77769
1400000US53053063501,"Census Tract 635.01, Pierce County, Washington",1624,7.6,5.2,10.2,6,7.5,19.3,15.8,20,4.1,4.3,60625,74569
1400000US53053063502,"Census Tract 635.02, Pierce County, Washington",1738,3.9,4.3,8.3,10,20.1,19.2,9.7,18.9,4.7,1,52750,67657
1400000US53053070100,"Census Tract 701, Pierce County, Washington",1375,0,3.9,1.8,4.3,6.2,14.5,15.7,25.2,14.7,13.7,102245,123170
1400000US53053070204,"Census Tract 702.04, Pierce County, Washington",1276,0.8,0,3.9,4.2,12.9,12.8,15.8,30.5,4.5,14.7,97045,128795
1400000US53053070205,"Census Tract 702.05, Pierce County, Washington",1144,2.9,0,8.5,8.6,12.1,14.2,11.9,19.3,15.3,7.3,88021,96509
1400000US53053070206,"Census Tract 702.06, Pierce County, Washington",1602,0.5,0.5,3.4,2.7,6.5,16.1,16.4,21.7,14.2,17.9,109236,153988
1400000US53053070207,"Census Tract 702.07, Pierce County, Washington",2194,0.5,1.8,5.1,6.1,3.8,15.5,4.4,27.5,21.5,13.9,118152,125206
1400000US53053070208,"Census Tract 702.08, Pierce County, Washington",2040,1.6,0,1.3,1.7,1.1,15.1,8.2,34,17.9,19,124519,141354
1400000US53053070209,"Census Tract 702.09, Pierce County, Washington",1321,0.9,1.4,1,3.1,15.7,17.9,19.9,20.1,6.4,13.7,89443,129835
1400000US53053070307,"Census Tract 703.07, Pierce County, Washington",2039,1,2.4,2.2,9.3,2.7,13.9,10.3,17.5,11.3,29.5,115231,224352
1400000US53053070308,"Census Tract 703.08, Pierce County, Washington",1580,3,1.8,2.9,3,9.8,17.5,20.8,27.5,7.2,6.3,88977,98756
1400000US53053070309,"Census Tract 703.09, Pierce County, Washington",2327,1.2,2,2.9,5.3,8.2,16.8,10.5,26.9,15.1,11,107132,122296
1400000US53053070310,"Census Tract 703.10, Pierce County, Washington",1995,1.7,0.6,1.4,1.2,7.4,16.5,17.3,32.1,14.5,7.5,103310,109950
1400000US53053070311,"Census Tract 703.11, Pierce County, Washington",1864,1.2,0.8,5.9,3,5.4,15,11.2,25.8,19.5,12.3,110658,124437
1400000US53053070312,"Census Tract 703.12, Pierce County, Washington",2323,1.3,0,1,1.8,6.3,3,14.9,31.9,15,24.8,134316,148274
1400000US53053070313,"Census Tract 703.13, Pierce County, Washington",2432,3.9,0,4.6,3,8.6,11,13.9,24.6,19.8,10.4,108151,132199
1400000US53053070314,"Census Tract 703.14, Pierce County, Washington",1085,1.3,0,0.6,1.8,2.8,8.7,12.4,41.8,18.8,11.8,118961,134942
1400000US53053070315,"Census Tract 703.15, Pierce County, Washington",2284,1.4,0.8,0.9,3,3.6,9.5,13.2,23,22.5,22.1,138553,161200
1400000US53053070316,"Census Tract 703.16, Pierce County, Washington",2240,2.1,1.1,2.9,6.3,7.8,8.5,13.9,29.4,12.5,15.5,117037,135081
1400000US53053070401,"Census Tract 704.01, Pierce County, Washington",757,2.4,1.2,4.5,5,8.7,18.2,18.5,11,16.8,13.7,89727,116931
1400000US53053070403,"Census Tract 704.03, Pierce County, Washington",1479,1.2,1.6,2.4,1.8,5.1,23.1,19.7,25.5,11.8,7.9,95032,108618
1400000US53053070404,"Census Tract 704.04, Pierce County, Washington",1810,0.8,3.8,3.1,2,1.7,21.6,14.9,31.5,8,12.7,104500,117873
1400000US53053070703,"Census Tract 707.03, Pierce County, Washington",2557,2.3,1.3,2.9,9.4,10.1,17.9,18.9,19.3,11.2,6.7,81055,95191
1400000US53053071100,"Census Tract 711, Pierce County, Washington",1069,4.4,3.6,14.1,3.4,8.3,14.8,13.6,19.2,10.1,8.6,80433,94073
1400000US53053071205,"Census Tract 712.05, Pierce County, Washington",1753,2.1,2.2,2.4,3.6,8.8,9.8,13.5,28.8,18.2,10.7,109369,117873
1400000US53053071206,"Census Tract 712.06, Pierce County, Washington",2525,0,2.1,3,7.1,10.3,17.3,11.6,28.4,14.8,5.4,92319,103931
1400000US53053071207,"Census Tract 712.07, Pierce County, Washington",2592,3.5,3.5,16,9.8,13.8,12.2,12,17.6,4.8,6.9,54173,77838
1400000US53053071209,"Census Tract 712.09, Pierce County, Washington",1395,0.6,0,1.2,3.7,10.6,11,11.9,24.7,17.7,18.5,124295,140440
1400000US53053071210,"Census Tract 712.10, Pierce County, Washington",1898,0.8,0.4,1.7,2.3,10.5,10.5,9,21.8,22.1,20.9,132650,145491
1400000US53053071211,"Census Tract 712.11, Pierce County, Washington",2121,5.2,1.2,6.1,5.1,19.2,19.8,17.4,16,6,4,60099,83496
1400000US53053071212,"Census Tract 712.12, Pierce County, Washington",1276,0,0,4.9,2.9,10,34.5,12.1,20.8,8.8,6.1,73141,104712
1400000US53053071304,"Census Tract 713.04, Pierce County, Washington",2608,3.5,5.3,3.1,5.9,5.5,28.3,11.5,18.4,10.6,8,69931,96252
1400000US53053071305,"Census Tract 713.05, Pierce County, Washington",1415,3.7,1.2,6.1,3.3,11.1,20.1,22.2,20.1,7.5,4.6,79181,89091
1400000US53053071306,"Census Tract 713.06, Pierce County, Washington",2461,1.2,0.7,2.7,4.8,5.4,18.9,22.3,23.2,12.1,8.8,88662,117167
1400000US53053071307,"Census Tract 713.07, Pierce County, Washington",1861,0.8,0.1,3.5,3.7,3.3,24,13.2,30.1,13.2,8.1,107708,113101
1400000US53053071309,"Census Tract 713.09, Pierce County, Washington",1470,0.3,0.8,1.5,4.8,6.4,17.9,27,20.2,11.6,9.5,90266,111348
1400000US53053071310,"Census Tract 713.10, Pierce County, Washington",2608,3.3,0.4,1.2,2.3,2.4,16.8,11.8,32.9,10,18.9,123106,130014
1400000US53053071403,"Census Tract 714.03, Pierce County, Washington",1434,5.2,4.7,5.3,7.9,14.2,15.4,19,14.9,7.3,6.1,71429,87746
1400000US53053071408,"Census Tract 714.08, Pierce County, Washington",1323,10.2,3.7,3.3,10.3,5.1,18.1,21.8,15.8,9.3,2.5,73958,77897
1400000US53053071409,"Census Tract 714.09, Pierce County, Washington",1788,5.8,5.4,11.6,6,11.9,18.3,16.9,16.3,5.3,2.5,56865,70760
1400000US53053071411,"Census Tract 714.11, Pierce County, Washington",2203,0,2,5.6,6.7,6.6,15.9,22.9,24.5,11.8,4,84154,100943
1400000US53053071412,"Census Tract 714.12, Pierce County, Washington",2042,4.6,2,0,0.8,9.3,12.4,22.9,30.9,12.3,4.8,96612,110770
1400000US53053071413,"Census Tract 714.13, Pierce County, Washington",750,0,0,0,2,2.4,13.1,18.5,23.7,13.5,26.8,139286,167249
1400000US53053071414,"Census Tract 714.14, Pierce County, Washington",1337,2,1.5,1,3.1,10.6,16.9,29.1,23.6,4.6,7.6,91432,126827
1400000US53053071415,"Census Tract 714.15, Pierce County, Washington",1074,0,1.5,0,21.5,1.8,28.5,14.5,10.1,22.2,0,73713,89149
1400000US53053071416,"Census Tract 714.16, Pierce County, Washington",893,11.9,1,4.5,4,25.8,13.1,24.4,12.9,2.5,0,57250,61721
1400000US53053071417,"Census Tract 714.17, Pierce County, Washington",1913,1.7,0,1.7,6.1,3.5,13.9,18.3,41.2,7.1,6.5,106797,107732
1400000US53053071503,"Census Tract 715.03, Pierce County, Washington",2223,4.9,1.5,9.6,3.5,24.2,15.1,14,13.4,11.7,2.2,61406,76498
1400000US53053071504,"Census Tract 715.04, Pierce County, Washington",1604,10.1,4.6,8,14.5,5.5,17.9,17.4,16,2.1,3.9,55038,69285
1400000US53053071505,"Census Tract 715.05, Pierce County, Washington",1995,2.8,4.5,9.2,2.8,17.2,11.1,13.7,22.3,12.9,3.6,84013,88281
1400000US53053071506,"Census Tract 715.06, Pierce County, Washington",2256,3.2,2,4.6,5.9,13.6,19.5,9,29.1,6.7,6.3,76628,91001
1400000US53053071601,"Census Tract 716.01, Pierce County, Washington",1694,4.5,4.4,7.9,6.2,14.6,25.9,17.5,11.5,5,2.5,57096,70848
